,id_model,id_serie,input,output,rep,sMAPE,MAE,MAPE
17,2,322,12,3,2,0.046615418,1470.360304,0.099176648
0,0,365,12,12,0,0.101587846,11622.97852,0.220203752
1,1,365,12,12,0,0.063514954,7221.766667,0.140993964
2,2,365,12,12,0,0.06874405,7889.353995,0.154675136
3,0,365,12,3,0,0.055692758,1550.988281,0.092929679
4,1,365,12,3,0,0.063072404,1825,0.116256698
5,2,365,12,3,0,0.050918998,1467.08816,0.091415567
6,0,365,12,12,1,0.080968947,9507.315918,0.198196333
7,1,365,12,12,1,0.066993822,7645,0.158824959
8,2,365,12,12,1,0.078116539,9161.758707,0.192361449
9,0,365,12,3,1,0.03047674,802.6757813,0.059642889
10,1,365,12,3,1,0.029345554,820.5168656,0.062230236
11,2,365,12,3,1,0.022047127,611.8485382,0.046593202
12,0,365,12,12,2,0.099825021,12450.57129,0.260023517
13,1,365,12,12,2,0.072323928,8395,0.168415747
14,2,365,12,12,2,0.095329101,11752.61304,0.244193681
15,0,365,12,3,2,0.04934308,1334.124023,0.125218157
16,1,365,12,3,2,0.055850577,1525,0.139244108
17,2,365,12,3,2,0.058225946,1593.869431,0.141997962
0,0,366,12,12,0,0.110537464,26358.88672,0.196104044
1,1,366,12,12,0,0.751262489,113603.3767,0.857450619
2,2,366,12,12,0,0.091233368,22140.47085,0.163221291
3,0,366,12,3,0,0.033831414,2294.644531,0.071559892
4,1,366,12,3,0,0.744875789,28455,0.853280394
5,2,366,12,3,0,0.0147605,986.7241215,0.030401641
6,0,366,12,12,1,0.147219295,30610.37012,0.245077052
7,1,366,12,12,1,0.73554393,101093.5147,0.845424857
8,2,366,12,12,1,0.097331708,21204.53111,0.167046165
9,0,366,12,3,1,0.016648586,1117.658203,0.031876277
10,1,366,12,3,1,0.752728583,29242,0.858242607
11,2,366,12,3,1,0.034349783,2294.39604,0.06637953
12,0,366,12,12,2,0.169765756,27738.13574,0.276569513
13,1,366,12,12,2,0.686778996,77507.48447,0.809324712
14,2,366,12,12,2,0.135696483,22935.62875,0.230197914
15,0,366,12,3,2,0.032882048,2131.331055,0.06347895
16,1,366,12,3,2,0.750492059,28646.16104,0.857438978
17,2,366,12,3,2,0.017284268,1135.902748,0.03378728
0,0,382,12,12,0,0.114622782,3586.696289,0.202772302
1,1,382,12,12,0,0.183178043,5399.765336,0.308321855
2,2,382,12,12,0,0.104053443,3287.137953,0.186282301
3,0,382,12,3,0,0.019578528,170.6340332,0.038086735
4,1,382,12,3,0,0.18557526,1390.904329,0.312865238
5,2,382,12,3,0,0.006107068,54.28233511,0.012228361
6,0,382,12,12,1,0.106800394,2957.563171,0.186520519
7,1,382,12,12,1,0.123904506,3378.999817,0.216961948
8,2,382,12,12,1,0.107496873,2974.978286,0.188070318
9,0,382,12,3,1,0.048692992,415.3813477,0.091140484
10,1,382,12,3,1,0.189706705,1426.499637,0.317922342
11,2,382,12,3,1,0.03232963,280.2532112,0.060675796
12,0,382,12,12,2,0.018933037,484.0383911,0.037807663
13,1,382,12,12,2,0.043336923,1067.702947,0.081096447
14,2,382,12,12,2,0.017733722,453.2549213,0.036522961
15,0,382,12,3,2,0.056908778,476.631958,0.107282347
16,1,382,12,3,2,0.187622169,1398.451027,0.315526743
17,2,382,12,3,2,0.0652181,541.9647143,0.121807705
0,0,412,12,12,0,0.086039312,25744.0166,0.146386109
1,1,412,12,12,0,0.229353629,60570,0.364661525
2,2,412,12,12,0,0.101454963,29904.41685,0.172427465
3,0,412,12,3,0,0.071240324,6118.244141,0.133393011
4,1,412,12,3,0,0.281872649,20230,0.439604442
5,2,412,12,3,0,0.113366222,9367.710458,0.203324057
6,0,412,12,12,1,0.023163441,5104.444336,0.044483222
7,1,412,12,12,1,0.048690555,10300,0.087643985
8,2,412,12,12,1,0.037898729,8249.550996,0.070845945
9,0,412,12,3,1,0.096753286,7701.423828,0.174654718
10,1,412,12,3,1,0.259558505,17990,0.411114535
11,2,412,12,3,1,0.099434416,7895.536443,0.179077461
12,0,412,12,12,2,0.04383488,8734.009277,0.092739059
13,1,412,12,12,2,0.04298152,8571.033731,0.09234939
14,2,412,12,12,2,0.032452992,6361.053604,0.067321337
15,0,412,12,3,2,0.047930823,3529.185547,0.090067831
16,1,412,12,3,2,0.202805924,13010,0.33636149
17,2,412,12,3,2,0.035805216,2667.229702,0.067989881
0,0,428,12,12,0,0.021815769,8553.152344,0.043235683
1,1,428,12,12,0,0.541299495,138210,0.70184712
2,2,428,12,12,0,0.024048589,9371.724584,0.046917733
3,0,428,12,3,0,0.005213989,492.5292969,0.010494634
4,1,428,12,3,0,0.521532651,32213.33338,0.685512128
5,2,428,12,3,0,0.023486497,2260.348667,0.048127852
6,0,428,12,12,1,0.023862269,9067.017578,0.046495968
7,1,428,12,12,1,0.540408351,136483.5919,0.701605512
8,2,428,12,12,1,0.02220898,8452.461131,0.043329023
9,0,428,12,3,1,0.031343432,3084.976563,0.064747874
10,1,428,12,3,1,0.528830011,32978.58681,0.691785374
11,2,428,12,3,1,0.03253922,3206.630476,0.067368197
12,0,428,12,12,2,0.046230791,16535.12988,0.088319987
13,1,428,12,12,2,0.529093848,129479.8995,0.692026422
14,2,428,12,12,2,0.028598073,10403.86836,0.055579509
15,0,428,12,3,2,0.011180842,1139.939453,0.022465694
16,1,428,12,3,2,0.553661135,36369.99997,0.712575645
17,2,428,12,3,2,0.015344346,1554.838346,0.030368042
0,0,457,12,12,0,0.011560083,2826.389648,0.022817115
1,1,457,12,12,0,0.134952319,29407.99976,0.237691484
2,2,457,12,12,0,0.018330945,4452.035889,0.035890889
3,0,457,12,3,0,0.007165397,444.4433594,0.014373495
4,1,457,12,3,0,0.131304268,7182.999981,0.232127074
5,2,457,12,3,0,0.003020071,187.4723202,0.00606121
6,0,457,12,12,1,0.011918315,2826.729492,0.023470631
7,1,457,12,12,1,0.126453512,26942.16455,0.224410699
8,2,457,12,12,1,0.015939905,3765.585976,0.031278972
9,0,457,12,3,1,0.012054608,750.6328125,0.023668384
10,1,457,12,3,1,0.141604623,7817,0.247942713
11,2,457,12,3,1,0.014505348,901.0568739,0.028446718
12,0,457,12,12,2,0.007820616,1811.943359,0.015495351
13,1,457,12,12,2,0.119428923,24911.5,0.213342931
14,2,457,12,12,2,0.014188639,3266.697183,0.02797386
15,0,457,12,3,2,0.003463965,212.9335938,0.006903069
16,1,457,12,3,2,0.132263186,7205.5,0.233625714
17,2,457,12,3,2,0.011236205,685.3928705,0.022221515
0,0,466,12,12,0,0.047334252,4405.886514,0.103776199
1,1,466,12,12,0,0.486975519,29734.14055,0.650750732
2,2,466,12,12,0,0.051194536,4848.674147,0.116999625
3,0,466,12,3,0,0.086888569,1858.9125,0.194535851
4,1,466,12,3,0,0.421366798,5791.275564,0.591603494
5,2,466,12,3,0,0.092689452,1995.696235,0.207797164
6,0,466,12,12,1,0.035499173,3488.318404,0.066733444
7,1,466,12,12,1,0.534027285,35224.52964,0.694472317
8,2,466,12,12,1,0.039874732,3911.22567,0.074628676
9,0,466,12,3,1,0.045682134,1065.032939,0.098388334
10,1,466,12,3,1,0.475682818,7171.898911,0.643801212
11,2,466,12,3,1,0.050211327,1176.208804,0.108312285
12,0,466,12,12,2,0.063686373,6034.15334,0.125980673
13,1,466,12,12,2,0.521458179,32985.11229,0.683528603
14,2,466,12,12,2,0.049131864,4614.824924,0.094734412
15,0,466,12,3,2,0.022343382,555.0904004,0.044154814
16,1,466,12,3,2,0.522626628,8611.51839,0.685589365
17,2,466,12,3,2,0.027518415,681.2219841,0.053805057
0,0,476,12,12,0,0.002655789,652.40625,0.0053134
1,1,476,12,12,0,0.039206921,9262.30936,0.075434363
2,2,476,12,12,0,0.002217267,544.4872685,0.004439469
3,0,476,12,3,0,0.002106864,129.3837891,0.00418719
4,1,476,12,3,0,0.039385343,2331.930119,0.075768972
5,2,476,12,3,0,0.001696952,104.2564626,0.003369975
6,0,476,12,12,1,0.007060524,1701.529297,0.014236307
7,1,476,12,12,1,0.03049294,7101.693208,0.059169234
8,2,476,12,12,1,0.008855381,2144.262037,0.017883434
9,0,476,12,3,1,0.003783898,232.2832031,0.007591045
10,1,476,12,3,1,0.038216925,2258.082077,0.073602669
11,2,476,12,3,1,0.002096788,128.7783828,0.004215534
12,0,476,12,12,2,0.018870535,4564.754883,0.038640922
13,1,476,12,12,2,0.030140764,6954.133333,0.058173396
14,2,476,12,12,2,0.018768154,4534.92033,0.038415612
15,0,476,12,3,2,0.001955781,120.2626953,0.003907822
16,1,476,12,3,2,0.039839458,2357.021035,0.076623634
17,2,476,12,3,2,0.001016079,62.57277228,0.002035631
0,0,502,12,12,0,0.007345792,2032.323242,0.014979746
1,1,502,12,12,0,0.157966904,37673.04575,0.272312662
2,2,502,12,12,0,0.008238628,2278.363617,0.01674224
3,0,502,12,3,0,0.023307149,1589.775391,0.047819393
4,1,502,12,3,0,0.131312382,7732.639543,0.232060421
5,2,502,12,3,0,0.023313674,1590.231069,0.04786218
6,0,502,12,12,1,0.00532696,1469.445313,0.010576173
7,1,502,12,12,1,0.174437379,41169.11934,0.297029064
8,2,502,12,12,1,0.005353951,1476.180776,0.010600995
9,0,502,12,3,1,0.004264639,296.1152344,0.008458444
10,1,502,12,3,1,0.154658482,9327.794205,0.267801602
11,2,502,12,3,1,0.00532187,369.4836029,0.010560213
12,0,502,12,12,2,0.020501661,5524.691406,0.040216435
13,1,502,12,12,2,0.182245927,42391.88207,0.308266085
14,2,502,12,12,2,0.02651847,7104.187185,0.051671316
15,0,502,12,3,2,0.005343374,373.0048828,0.010622858
16,1,502,12,3,2,0.159133033,9634.749382,0.274562151
17,2,502,12,3,2,0.005368261,374.7329004,0.01066508
0,0,513,12,12,0,0.009037642,2187.995117,0.017914728
1,1,513,12,12,0,0.243188781,47786.47901,0.391269006
2,2,513,12,12,0,0.012888134,3108.330232,0.025484807
3,0,513,12,3,0,0.000509408,31.18945313,0.001018269
4,1,513,12,3,0,0.230327375,11468,0.374415613
5,2,513,12,3,0,0.000934649,57.20124428,0.001867066
